doi,id,linkout
10.1093/geront/32.5.601,pub.1059634133,
10.1093/geront/32.4.508,pub.1059634109,
10.1111/j.1465-7287.1998.tb00525.x,pub.1010329204,
10.1093/geront/32.3.391,pub.1059634087,
10.1093/geront/32.4.478,pub.1059634105,
10.1093/geront/32.5.641,pub.1059634138,
10.1093/geront/33.1.16,pub.1059634227,
10.1093/geront/33.4.497,pub.1059634299,
10.1093/geront/33.3.299,pub.1059634267,
10.1093/geront/32.4.527,pub.1059634111,
10.1093/geront/32.6.805,pub.1059634169,
10.1093/geront/32.5.592,pub.1059634132,
10.1093/geront/33.1.31,pub.1059634229,
10.1093/geront/33.5.595,pub.1059634320,
10.1093/geront/32.6.796,pub.1059634168,
10.1093/geront/34.4.486,pub.1059634481,
10.1111/j.1465-7287.1994.tb00414.x,pub.1001700977,
10.1093/geront/34.2.150,pub.1059634419,
10.1093/geront/34.4.454,pub.1059634476,
10.1093/geront/34.1.24,pub.1059634404,
10.1093/geront/34.4.491,pub.1059634482,
10.1177/0032329298026002004,pub.1063656110,
10.1093/geront/34.4.476,pub.1059634479,
10.1093/geront/34.2.190,pub.1059634423,
10.1093/geront/33.5.650,pub.1059634327,
10.1093/geront/34.5.640,pub.1059634518,
10.1093/geront/34.1.59,pub.1059634409,
10.1177/019251398019002005,pub.1015475907,
10.1377/hlthaff.17.3.101,pub.1044157267,
10.1177/104420739800900203,pub.1063924663,
10.1177/0049124198026004003,pub.1002426269,
10.1086/262058,pub.1058575539,http://discovery.ucl.ac.uk/15224/1/15224.pdf
10.1086/601443,pub.1058806925,http://discovery.ucl.ac.uk/15234/1/15234.pdf
10.1086/262059,pub.1058575540,
10.1086/261987,pub.1058575468,http://www.nber.org/papers/w4884.pdf
10.1086/262011,pub.1058575492,http://researchdatabase.minneapolisfed.org/downloads/j098zb20z
10.1086/262035,pub.1058575516,
10.1086/298273,pub.1058607578,
10.1257/jep.12.1.115,pub.1064529884,https://www.aeaweb.org/articles/pdf/doi/10.1257/jep.12.1.115
10.1086/262029,pub.1058575510,
10.1086/262045,pub.1058575526,http://www.nber.org/papers/w5124.pdf
10.1111/1468-2257.00073,pub.1004222452,
10.1086/262030,pub.1058575511,http://www.nber.org/papers/w4249.pdf
10.1016/0047-2727(85)90019-2,pub.1008691919,
10.1111/j.1549-0831.1997.tb00656.x,pub.1027959709,
10.1257/jep.12.1.79,pub.1064529901,https://www.aeaweb.org/articles/pdf/doi/10.1257/jep.12.1.79
10.1177/0049124197026002005,pub.1017998529,http://deepblue.lib.umich.edu/bitstream/2027.42/68462/2/10.1177_0049124197026002005.pdf
10.1177/0032329297025004003,pub.1063656093,
10.1136/tc.3.4.316,pub.1052043890,https://tobaccocontrol.bmj.com/content/3/4/316.full.pdf
10.1007/s12122-997-1024-5,pub.1018693024,https://digitalcommons.trinity.edu/cgi/viewcontent.cgi?article=1017&context=hca_faculty
10.1093/swr/21.4.211,pub.1060043551,
10.1111/j.1465-7287.1998.tb00503.x,pub.1024495003,
10.1177/109114219702500404,pub.1045119299,
10.1007/s12122-997-1048-x,pub.1036408210,
10.1177/07399863970193002,pub.1038972320,
10.1177/0021886397333007,pub.1050769921,
10.1377/hlthaff.16.4.223,pub.1020798997,
10.1177/07399863970193001,pub.1019632593,
10.1111/j.1541-0072.1979.tb01582.x,pub.1034118110,
10.1111/j.1541-0072.1979.tb01577.x,pub.1005036217,
10.1111/j.1541-0072.1979.tb01575.x,pub.1050838982,
10.1111/j.1541-0072.1997.tb00003.x,pub.1010030164,
10.1111/j.1541-0072.1979.tb01249.x,pub.1042972553,
10.1111/j.1541-0072.1979.tb01241.x,pub.1021041201,
10.1377/hlthaff.16.1.185,pub.1023812118,
10.1145/240483.240490,pub.1030038578,
10.1177/0032329296024004010,pub.1063656072,
10.1111/j.1541-0072.1997.tb00038.x,pub.1035654707,
10.1111/0002-9092.00055,pub.1061832847,https://lib.dr.iastate.edu/cgi/viewcontent.cgi?article=1213&context=econ_las_pubs
10.1007/s12122-997-1009-4,pub.1012363900,
10.1257/jep.4.4.25,pub.1064530991,
10.1111/j.1465-7287.1996.tb00634.x,pub.1044867389,
10.1080/00036849400000007,pub.1047253134,
10.1111/j.1536-7150.1996.tb02309.x,pub.1038264245,
10.1086/262043,pub.1058575524,http://www.nber.org/papers/w4678.pdf
10.1377/hlthaff.14.1.244,pub.1017446022,
10.1377/hlthaff.14.4.253,pub.1010564800,
10.1086/298222,pub.1058607527,
10.1111/j.1468-2257.1992.tb00572.x,pub.1006896286,
10.1111/0002-9092.00016,pub.1061832809,
10.1177/0011128794040004006,pub.1063572565,
10.1126/science.245.4922.1047,pub.1062538282,
10.1111/j.1533-8525.1991.tb00349.x,pub.1019468249,
10.1111/j.1465-7295.1990.tb00812.x,pub.1029485107,
10.1177/019251391012002001,pub.1052609752,
10.1006/jhec.1999.0248,pub.1053354851,
10.1007/s001480050065,pub.1000072631,
10.1086/209836,pub.1058529349,
10.1086/298215,pub.1058607520,
10.1086/209870,pub.1058529383,
10.1086/320037,pub.1058622956,
10.1377/hlthaff.14.1.37,pub.1035566442,
10.1111/j.1475-4991.1998.tb00268.x,pub.1003544932,
10.1086/260824,pub.1058574305,http://dataspace.princeton.edu/jspui/bitstream/88435/dsp01fb494841t/1/121.pdf
10.1177/075910639303800102,pub.1063849106,
10.1207/s15327795jra0304_3,pub.1064221805,
10.1001/jama.281.11.1019,pub.1025334770,https://jamanetwork.com/journals/jama/articlepdf/189045/JBR90005.pdf
10.1016/0304-4076(79)90038-1,pub.1034815885,
10.1080/000368496328010,pub.1001724307,
10.1086/261403,pub.1058574884,http://dataspace.princeton.edu/jspui/bitstream/88435/dsp01hd76s005c/1/182.pdf
10.1086/516388,pub.1058790457,http://www.nber.org/papers/w5378.pdf
10.1086/298183,pub.1058607488,http://dataspace.princeton.edu/jspui/bitstream/88435/dsp015999n3374/1/214.pdf
10.1177/0164027588104001,pub.1042854205,http://www.nber.org/papers/w2935.pdf
10.1111/1468-0335.00172,pub.1027831355,
10.1111/j.1745-6606.1997.tb00828.x,pub.1006861952,
10.1086/298140,pub.1058607445,
10.1086/298209,pub.1058607514,https://scholarcommons.sc.edu/cgi/viewcontent.cgi?article=1009&context=econ_facpub
10.1177/0164027595173003,pub.1019614354,
10.1257/aer.89.2.377,pub.1064526851,
10.1377/hlthaff.14.2.199,pub.1023122890,
10.1080/00036848500000006,pub.1015835875,
10.1080/00036848700000055,pub.1016652437,
10.1086/298070,pub.1058607375,
10.1086/261785,pub.1058575266,
10.1093/geront/28.4.540,pub.1059633201,
10.1086/209823,pub.1058529336,
10.1068/a241291,pub.1024367456,
10.1080/00420989420080081,pub.1003813496,
10.1111/0735-2166.00039,pub.1037070882,
10.1111/0022-4146.00154,pub.1041988432,
10.1162/003465398557645,pub.1001404969,http://www.nber.org/papers/w5194.pdf
10.1257/aer.89.2.234,pub.1064526822,
10.1080/00346768500000018,pub.1003922692,
10.1016/0272-7757(94)90002-7,pub.1051684275,
10.1016/0165-1765(87)90230-8,pub.1025578650,
10.1086/298260,pub.1058607565,
10.1086/230577,pub.1058550075,
10.1177/019251395016005006,pub.1024661823,http://deepblue.lib.umich.edu/bitstream/2027.42/67651/2/10.1177_019251395016005006.pdf
10.1086/515775,pub.1058790161,
10.1177/0164027595174001,pub.1042571150,
10.1086/261642,pub.1058575123,http://www.nber.org/papers/w2870.pdf
10.1111/j.1475-4991.1990.tb00317.x,pub.1009245700,
10.1111/j.1475-4991.1997.tb00212.x,pub.1019287023,
10.1162/003465397750160158,pub.1029908591,
10.1111/j.1549-0831.1995.tb00562.x,pub.1039903085,
10.1377/hlthaff.15.1.118,pub.1023995945,
10.1086/298286,pub.1058607591,
10.1086/298156,pub.1058607461,http://www.nber.org/papers/w1284.pdf
10.1086/298345,pub.1058607650,
10.1086/298192,pub.1058607497,http://www.econ.ucla.edu/workingpapers/wp361.pdf
10.1111/j.1475-4991.1990.tb00275.x,pub.1049923603,
10.1086/603892,pub.1058809362,
10.1111/j.1465-7295.1977.tb00446.x,pub.1021866906,
10.1086/298348,pub.1058607653,
10.1086/298168,pub.1058607473,
10.1086/224769,pub.1058544267,
10.1086/298235,pub.1058607540,
10.1111/j.1465-7295.1990.tb00827.x,pub.1038535002,
10.1016/0304-4076(95)01779-8,pub.1052993762,
10.1086/261774,pub.1058575255,
10.1080/10511482.1998.9521297,pub.1003875399,
10.1006/ssre.1997.0606,pub.1040468716,
10.1002/mde.4090080306,pub.1051569757,
10.1080/00036848100000031,pub.1003262959,
10.1108/eb008073,pub.1035038897,
10.1177/109114219001800203,pub.1050189603,
10.1016/0166-0462(95)02118-3,pub.1035719291,http://www.nber.org/papers/w5183.pdf
10.1086/209831,pub.1058529344,http://www.nber.org/papers/w4859.pdf
10.1080/02673039508720806,pub.1006159288,
10.1086/444088,pub.1058728935,
10.1016/0166-0462(88)90015-4,pub.1014363578,
10.1086/514473,pub.1058789287,
10.1086/298067,pub.1058607372,
10.1126/science.3277267,pub.1062603632,
10.1086/209914,pub.1058529427,https://escholarship.org/content/qt01s9z9tv/qt01s9z9tv.pdf?t=owl0fh
10.1086/261208,pub.1058574689,
10.1016/0094-1190(85)90036-1,pub.1011518207,
10.1080/00420988620080021,pub.1005523586,
10.1006/ssre.1998.0617,pub.1016332036,
10.1111/1468-0009.00094,pub.1024790893,http://europepmc.org/articles/pmc2751088?pdf=render
10.1111/j.1745-6606.1990.tb00263.x,pub.1046017703,
10.1006/jhec.1995.1010,pub.1021037075,
10.1016/0272-7757(81)90028-5,pub.1004855060,
10.1086/644545,pub.1058836733,
10.1111/j.1745-6606.1984.tb00317.x,pub.1033904854,
10.1111/j.1745-6606.1980.tb00676.x,pub.1050008187,
10.1080/01944367608977718,pub.1044651343,
10.1162/003465397556539,pub.1013017733,
10.1080/00036849200000048,pub.1016909832,
10.1016/0165-1765(93)00304-7,pub.1023201820,
10.1111/j.1538-4632.1985.tb00841.x,pub.1015388354,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1538-4632.1985.tb00841.x
10.1177/0730888489016001003,pub.1007901582,
10.1068/a261659,pub.1058153395,
10.1086/261805,pub.1058575286,http://dataspace.princeton.edu/jspui/bitstream/88435/dsp01js956f81r/1/265.pdf
10.1146/annurev.so.21.080195.001321,pub.1028346707,
10.1177/004912418000900205,pub.1030788226,http://deepblue.lib.umich.edu/bitstream/2027.42/68511/2/10.1177_004912418000900205.pdf
10.1086/494135,pub.1058778123,
10.1006/ssre.1999.0668,pub.1016020690,
10.1086/643847,pub.1058836066,
10.1086/604251,pub.1058809721,
10.1086/298112,pub.1058607417,
10.1002/jae.3950030206,pub.1039653639,
10.1111/j.1541-0072.1985.tb00218.x,pub.1043511273,
10.1177/019251388009004001,pub.1053779854,http://deepblue.lib.umich.edu/bitstream/2027.42/66839/2/10.1177_019251388009004001.pdf
10.1177/019251392013002003,pub.1011088771,https://deepblue.lib.umich.edu/bitstream/2027.42/67102/2/10.1177_019251392013002003.pdf
10.1007/s001480000039,pub.1034458561,http://deepblue.lib.umich.edu/bitstream/2027.42/41899/1/148-14-2-271_10140271.pdf
10.1016/0167-2231(94)90004-3,pub.1049073220,http://www.nber.org/papers/w4516.pdf
10.1016/0304-4076(88)90060-7,pub.1017199724,
10.1086/230267,pub.1058549765,
10.1111/j.1465-7295.1979.tb00532.x,pub.1051193195,
10.1086/260544,pub.1058574025,http://www.nber.org/papers/w0112.pdf
10.1086/298249,pub.1058607554,http://www.nber.org/papers/w1887.pdf
10.1177/048661347901100201,pub.1063828955,
10.1111/1467-9787.00164,pub.1044019938,
10.1086/261241,pub.1058574722,
10.1016/0047-2727(84)90004-5,pub.1045163207,
10.1016/0167-6296(94)90022-1,pub.1020176438,http://www.nber.org/papers/w3020.pdf
10.1111/j.1465-7295.1997.tb01903.x,pub.1024418591,
10.1177/109114218901700305,pub.1035519533,
10.1111/j.1533-8525.1979.tb01213.x,pub.1017873254,
10.1016/0094-1190(89)90018-1,pub.1050390214,
10.1016/0094-1190(87)90016-7,pub.1007671345,
10.1177/0164027586008001002,pub.1049988350,
10.1016/0190-7409(82)90029-9,pub.1044018494,
10.1111/j.1467-9787.1994.tb00861.x,pub.1039535976,
10.1086/298197,pub.1058607502,https://dash.harvard.edu/bitstream/1/2656816/2/Goldin_LifeCycle.pdf
10.1086/298184,pub.1058607489,http://www.nber.org/papers/w1002.pdf
10.1111/j.1467-9787.1990.tb00104.x,pub.1004140311,
10.1086/298048,pub.1058607353,
10.1086/209944,pub.1058529457,
10.1080/00036849100000131,pub.1044774334,
10.1089/jwh.1998.7.1257,pub.1059290055,
10.1016/0165-1765(86)90150-3,pub.1025063845,
10.1016/0304-4076(90)90111-6,pub.1030543414,
10.1111/j.1465-7295.1990.tb01238.x,pub.1041538727,
10.1086/298104,pub.1058607409,
10.1086/261023,pub.1058574504,http://www.nber.org/papers/w0421.pdf
10.1016/0304-4076(82)90096-3,pub.1042389067,
10.1016/0304-4076(82)90037-9,pub.1011652686,
10.1016/0272-7757(85)90036-6,pub.1051462686,
10.1111/j.1468-0084.1990.mp52002001.x,pub.1006478571,
10.1016/0165-1765(91)90211-3,pub.1047006113,
10.1111/j.1468-2257.1983.tb00411.x,pub.1041903216,
10.1177/0164027583005002007,pub.1009384704,
10.1111/j.1467-9787.1983.tb00995.x,pub.1019869263,
10.1016/0165-1765(91)90089-4,pub.1003020327,
10.1006/juec.1998.2082,pub.1038738105,
10.1162/003355397555145,pub.1063349050,https://dspace.mit.edu/bitstream/1721.1/63676/1/howmuchdoessorti00krem.pdf
10.1111/j.1745-6606.1980.tb00674.x,pub.1029333875,
10.1093/geront/35.4.436,pub.1059634668,
10.1007/s11606-006-5008-6,pub.1023416509,http://europepmc.org/articles/pmc1497071?pdf=render
10.1086/261586,pub.1058575067,
10.1162/003465398557492,pub.1042450873,https://dspace.mit.edu/bitstream/1721.1/64217/1/testingforliquid00japp.pdf
10.1093/geront/37.4.462,pub.1049270719,https://academic.oup.com/gerontologist/article-pdf/37/4/462/1680374/37-4-462.pdf
10.1016/0272-7757(84)90004-9,pub.1002527002,
10.1111/1468-0262.00080,pub.1006746117,
10.1086/209826,pub.1058529339,
10.1016/0094-1190(85)90042-7,pub.1013378704,
10.1016/0094-1190(89)90031-4,pub.1000778945,
10.1177/0002716285479001003,pub.1013201516,
10.1086/298185,pub.1058607490,
10.1111/j.1475-4991.1993.tb00470.x,pub.1029840637,
10.1016/0272-7757(84)90010-4,pub.1034364595,
10.1086/208828,pub.1058528415,
10.1016/0166-0462(87)90050-0,pub.1028822227,
10.1111/j.1549-0831.1998.tb00693.x,pub.1005657568,
10.1111/j.1741-3737.2001.00295.x,pub.1000661810,http://deepblue.lib.umich.edu/bitstream/2027.42/73393/1/j.1741-3737.2001.00295.x.pdf
10.1177/0730888487014002005,pub.1022974605,
10.1080/000368496328858,pub.1019800605,
10.1111/0019-8676.00097,pub.1048026897,
10.1006/ssre.1995.1014,pub.1038393810,
10.1086/209808,pub.1058529321,
10.1086/269327,pub.1058579938,
10.1086/228148,pub.1058547646,
10.1086/228954,pub.1058548452,
10.1177/0002716289501001006,pub.1000531885,
10.1093/geront/40.4.469,pub.1028908398,
10.1111/j.1549-0831.1995.tb00569.x,pub.1036636992,
10.1086/261738,pub.1058575219,
10.1086/209981,pub.1058529494,http://www.nber.org/papers/w4130.pdf
10.1097/00005650-199909000-00008,pub.1060223836,
10.1086/261740,pub.1058575221,
10.1093/geront/37.3.314,pub.1001555300,
10.1016/0304-3932(89)90051-2,pub.1031926446,
10.1016/0167-4870(83)90070-3,pub.1009809571,
10.1086/208829,pub.1058528416,
10.1016/0094-1190(83)90009-8,pub.1034475871,https://mpra.ub.uni-muenchen.de/19922/1/MPRA_paper_19922.pdf
10.1080/00036848600000073,pub.1026685898,
10.1006/jeem.1995.1006,pub.1000569248,
10.1177/001872678603900105,pub.1024686926,
10.1080/00036849000000044,pub.1017123650,
10.1080/00036848500000027,pub.1047519159,
10.1177/0730888482009004002,pub.1033813743,
10.1016/0148-6195(85)90014-1,pub.1025373812,
10.1097/00005650-198504000-00003,pub.1048998598,
10.1016/0272-7757(81)90006-6,pub.1004084857,
10.1016/0001-4575(86)90005-9,pub.1001647999,
10.1016/1062-9769(95)90046-2,pub.1023013808,
10.1080/00420988120080341,pub.1010708466,
10.1002/jae.3950100207,pub.1024939855,
10.1086/298252,pub.1058607557,http://www.nber.org/chapters/c7908.pdf
10.1086/209815,pub.1058529328,http://www.nber.org/papers/w4968.pdf
10.1093/sw/44.3.201,pub.1060042475,
10.1016/0166-0462(86)90020-7,pub.1046224651,
10.1086/298137,pub.1058607442,http://dataspace.princeton.edu/jspui/bitstream/88435/dsp01qr46r082b/1/191.pdf
10.1086/643675,pub.1058835894,
10.1016/0304-4076(94)90075-2,pub.1052452043,
10.1016/0165-1765(86)90191-6,pub.1045037308,http://community.middlebury.edu/~wunnava/Recent_Papers/ECOLET 21.3.pdf
10.1111/j.1475-4991.1999.tb00309.x,pub.1014087721,http://roiw.org/1999/1.pdf
