study,curation_level,cur_lev_rank
00017,Level 1,3
00171,Other,0
02018,Level 1,3
02268,Level 2,4
02325,Level 2,4
02350,Level 2,4
02390,Level 2,4
02420,Level 1,3
02475,Level 2,4
02476,Level 2,4
02477,Level 2,4
02521,Level 2,4
02522,Level 2,4
02523,Level 2,4
02705,Level 1,3
02751,Level 2,4
02752,Level 2,4
02760,Level 3,5
02877,Level 1,3
02939,Level 2,4
02957,Level 1,3
03163,Level 1,3
03183,Level 2,4
03184,Level 2,4
03200,Fast Release,2
03425,Level 2,4
03426,Level 2,4
03596,Level 1,3
03724,Level 2,4
03752,Level 2,4
03753,Level 2,4
03818,Level 1,3
04018,Level 2,4
04019,Level 2,4
04050,Level 2,4
04091,Level 2,4
04134,Level 1,3
04149,Level 1,3
04263,Level 2,4
04264,Level 2,4
04368,Level 3,5
04536,Level 2,4
04537,Level 2,4
04538,Level 2,4
04541,Level 2,4
04566,Level 2,4
04572,Level 2,4
04652,Level 3,5
04690,Level 1,3
06133,Level 2,4
06227,Level 2,4
06367,Level 2,4
06517,Level 2,4
06577,Level 1,3
06716,Level 2,4
06836,Level 1,3
06837,Level 1,3
06906,Other,0
07048,Level 2,4
07478,Level 3,5
07661,Level 1,3
07900,Level 2,4
07927,Level 2,4
07928,Level 2,4
07929,Level 2,4
07930,Level 2,4
08092,Fast Release,2
08282,Fast Release,2
08387,Level 2,4
08388,Level 2,4
08546,Level 2,4
08701,Level 2,4
09013,Level 2,4
09045,Level 2,4
09079,Level 2,4
09238,Level 2,4
09259,Level 2,4
09288,Level 3,5
09296,Level 2,4
09397,Level 2,4
09645,Level 1,3
09745,Level 2,4
12345,Level 2,4
20022,Level 2,4
20180,Level 2,4
20320,Level 1,3
20520,Other,0
20541,Level 3,5
21600,Level 1,3
21940,Other,0
21941,Other,0
21942,Other,0
22100,Level 1,3
22361,Other,0
22411,Other,0
22480,Level 2,4
22500,Level 2,4
22580,Level 1,3
22626,Level 1,3
22760,Level 1,3
23420,Level 3,5
24642,Level 2,4
24881,Level 1,3
25341,Other,0
25382,Level 2,4
25422,Level 2,4
25541,Fast Release,2
26343,Level 3,5
26722,Level 2,4
26962,Level 1,3
27001,Level 3,5
27741,Other,0
27869,Level 2,4
28401,Level 2,4
28402,Level 2,4
28421,Level 1,3
28683,Level 3,5
28762,Level 3,5
29062,Level 2,4
29221,Level 3,5
29282,Level 3,5
29321,Level 1,3
29322,Level 1,3
29401,Level 3,5
29462,Level 2,4
29701,Level 3,5
29941,Level 2,4
30142,Level 2,4
30263,Level 3,5
30501,Level 2,4
30701,Level 3,5
30921,Level 2,4
30984,Level 2,4
30985,Level 2,4
31181,Level 2,4
31622,Other,0
31901,Level 2,4
32122,Level 2,4
32282,Level 2,4
32442,Level 3,5
32443,Level 3,5
32444,Level 2,4
32445,Level 2,4
32446,Level 2,4
32447,Level 2,4
32448,Level 2,4
32449,Level 2,4
32450,Level 2,4
32451,Level 2,4
32452,Level 2,4
32453,Level 2,4
32562,Other,0
32681,Fast Release,2
32721,Level 2,4
32922,Level 1,3
32961,Level 2,4
33381,Fast Release,2
33444,Level 1,3
33581,Level 2,4
33601,Other,0
33902,Level 2,4
33922,Level 2,4
34061,Level 3,5
34286,Level 3,5
34315,Level 2,4
34340,Fast Release,2
34346,Level 3,5
34366,Level 3,5
34369,Level 1,3
34374,Level 2,4
34375,Level 3,5
34409,Level 2,4
34437,Level 3,5
34438,Level 3,5
34439,Level 3,5
34440,Level 3,5
34558,Level 1,3
34574,Level 2,4
34603,Other,0
34619,Level 3,5
34650,Level 3,5
34681,Fast Release,2
34752,Fast Release,2
34754,Fast Release,2
34761,Level 1,3
34762,Level 1,3
34763,Level 1,3
34764,Level 1,3
34765,Fast Release,2
34771,Level 3,5
34798,Level 3,5
34861,Level 2,4
34883,Level 1,3
34892,Level 2,4
34921,Level 3,5
34934,Fast Release,2
34969,Level 3,5
34977,Fast Release,2
34990,Level 1,3
35004,Level 3,5
35026,Level 1,3
35027,Level 1,3
35028,Level 1,3
35029,Level 1,3
35030,Level 1,3
35032,Level 3,5
35036,Other,0
35061,Level 1,3
35067,Level 2,4
35070,Level 3,5
35081,Level 3,5
35085,Level 2,4
35158,Other,0
35159,Fast Release,2
35164,Level 3,5
35166,Level 2,4
35190,Level 2,4
35197,Level 3,5
35205,Fast Release,2
35206,Level 2,4
35218,Level 2,4
35252,Fast Release,2
35253,Fast Release,2
35254,Fast Release,2
35255,Fast Release,2
35258,Fast Release,2
35270,Level 2,4
35271,Level 2,4
35272,Level 2,4
35273,Level 2,4
35276,Level 2,4
35278,Level 2,4
35292,Fast Release,2
35295,Fast Release,2
35319,Fast Release,2
35349,Fast Release,2
35354,Fast Release,2
35356,Fast Release,2
35467,Fast Release,2
35481,Level 1,3
35484,Fast Release,2
35485,Fast Release,2
35486,Fast Release,2
35487,Fast Release,2
35506,Fast Release,2
35507,Fast Release,2
35508,Fast Release,2
35514,Fast Release,2
35519,Level 3,5
35525,Level 3,5
35609,Level 1,3
35610,Fast Release,2
35612,Fast Release,2
35613,Fast Release,2
35614,Level 1,3
35616,Level 2,4
35621,Level 2,4
35622,Level 1,3
35623,Level 2,4
35624,Level 2,4
35632,Fast Release,2
35647,Fast Release,2
35648,Fast Release,2
35649,Fast Release,2
35650,Fast Release,2
36031,Fast Release,2
36034,Level 1,3
36037,Level 1,3
36042,Fast Release,2
36043,Fast Release,2
36045,Level 2,4
36048,Level 2,4
36052,Fast Release,2
36066,Fast Release,2
36096,Fast Release,2
36097,Fast Release,2
36098,Fast Release,2
36107,Fast Release,2
36111,Fast Release,2
36112,Fast Release,2
36121,Other,0
36128,Fast Release,2
36129,Fast Release,2
36130,Fast Release,2
36139,Level 3,5
36141,Fast Release,2
36142,Level 3,5
36144,Level 1,3
36148,Level 1,3
36149,Level 2,4
36150,Fast Release,2
36151,Level 1,3
36153,Other,0
36158,Other,0
36165,Level 3,5
36166,Level 3,5
36169,Level 1,3
36170,Fast Release,2
36178,Level 3,5
36202,Fast Release,2
36208,Level 1,3
36224,Fast Release,2
36226,Fast Release,2
36227,Fast Release,2
36231,Level 3,5
36234,Level 2,4
36235,Level 1,3
36236,Fast Release,2
36239,Level 1,3
36244,Fast Release,2
36263,Level 2,4
36268,Level 2,4
36270,Level 0,1
36287,Level 2,4
36306,Level 3,5
36309,Fast Release,2
36310,Other,0
36311,Fast Release,2
36314,Level 1,3
36319,Level 2,4
36346,Level 1,3
36348,Fast Release,2
36349,Level 3,5
36356,Level 2,4
36357,Level 1,3
36363,Fast Release,2
36364,Level 2,4
36366,Fast Release,2
36367,Fast Release,2
36368,Level 3,5
36369,Fast Release,2
36377,Fast Release,2
36381,Level 2,4
36402,Level 3,5
36405,Level 3,5
36406,Level 3,5
36407,Level 2,4
36414,Fast Release,2
36415,Fast Release,2
36418,Fast Release,2
36419,Level 1,3
36420,Level 2,4
36421,Other,0
36425,Fast Release,2
36429,Fast Release,2
36430,Fast Release,2
36431,Fast Release,2
36432,Level 1,3
36446,Fast Release,2
36447,Level 2,4
36448,Level 3,5
36451,Fast Release,2
36460,Fast Release,2
36471,Level 2,4
36472,Level 1,3
36498,Level 3,5
36499,Level 1,3
36505,Level 2,4
36506,Level 2,4
36509,Level 2,4
36510,Level 2,4
36511,Level 2,4
36517,Fast Release,2
36518,Level 1,3
36519,Level 1,3
36520,Fast Release,2
36522,Fast Release,2
36530,Level 2,4
36534,Fast Release,2
36559,Fast Release,2
36562,Level 2,4
36566,Level 2,4
36574,Fast Release,2
36575,Level 3,5
36579,Fast Release,2
36580,Fast Release,2
36590,Fast Release,2
36591,Fast Release,2
36592,Level 1,3
36593,Fast Release,2
36594,Fast Release,2
36595,Fast Release,2
36596,Fast Release,2
36603,Level 2,4
36605,Fast Release,2
36608,Fast Release,2
36609,Fast Release,2
36610,Fast Release,2
36616,Fast Release,2
36620,Level 3,5
36621,Level 3,5
36622,Level 2,4
36625,Level 3,5
36630,Fast Release,2
36633,Level 2,4
36636,Level 2,4
36637,Level 2,4
36638,Level 2,4
36639,Level 1,3
36641,Level 2,4
36642,Fast Release,2
36643,Level 3,5
36651,Level 2,4
36653,Level 2,4
36655,Level 2,4
36660,Level 2,4
36669,Fast Release,2
36670,Fast Release,2
36671,Fast Release,2
36672,Fast Release,2
36673,Fast Release,2
36676,Fast Release,2
36677,Fast Release,2
36680,Level 3,5
36682,Level 2,4
36684,Fast Release,2
36685,Level 2,4
36686,Level 2,4
36688,Fast Release,2
36689,Level 1,3
36691,Level 2,4
36695,Fast Release,2
36699,Level 2,4
36700,Level 2,4
36701,Level 2,4
36702,Level 2,4
36703,Level 2,4
36704,Level 2,4
36705,Level 2,4
36706,Level 2,4
36707,Level 2,4
36708,Level 2,4
36709,Level 2,4
36710,Level 2,4
36711,Level 2,4
36712,Level 2,4
36713,Level 2,4
36714,Level 3,5
36715,Level 2,4
36722,Level 2,4
36723,Level 2,4
36724,Level 2,4
36726,Fast Release,2
36728,Fast Release,2
36729,Level 2,4
36730,Level 2,4
36732,Level 2,4
36734,Fast Release,2
36735,Level 2,4
36736,Level 0,1
36737,Level 1,3
36739,Level 2,4
36740,Level 2,4
36743,Level 2,4
36744,Level 2,4
36745,Fast Release,2
36746,Level 2,4
36747,Fast Release,2
36748,Fast Release,2
36749,Level 2,4
36751,Level 2,4
36752,Fast Release,2
36754,Level 2,4
36755,Level 2,4
36757,Level 2,4
36758,Level 2,4
36759,Level 2,4
36760,Level 2,4
36762,Level 2,4
36763,Level 2,4
36764,Level 3,5
36765,Level 3,5
36770,Level 2,4
36773,Level 2,4
36774,Fast Release,2
36775,Fast Release,2
36776,Fast Release,2
36777,Level 1,3
36778,Fast Release,2
36780,Level 2,4
36782,Level 2,4
36785,Level 3,5
36786,Fast Release,2
36787,Fast Release,2
36788,Fast Release,2
36789,Level 2,4
36790,Level 2,4
36792,Level 2,4
36793,Level 2,4
36794,Level 2,4
36795,Level 2,4
36796,Level 2,4
36798,Level 3,5
36799,Level 3,5
36800,Level 2,4
36801,Level 2,4
36802,Level 2,4
36804,Level 2,4
36805,Level 2,4
36806,Level 2,4
36808,Fast Release,2
36810,Fast Release,2
36811,Level 2,4
36812,Level 2,4
36813,Level 2,4
36814,Level 2,4
36815,Level 2,4
36816,Level 2,4
36817,Level 3,5
36818,Level 2,4
36819,Level 2,4
36820,Level 2,4
36821,Level 2,4
36823,Level 2,4
36824,Level 2,4
36825,Level 2,4
36826,Level 3,5
36828,Level 3,5
36829,Level 3,5
36830,Level 3,5
36831,Level 2,4
36833,Level 2,4
36834,Level 3,5
36835,Level 2,4
36836,Level 1,3
36838,Level 2,4
36839,Level 2,4
36840,Level 3,5
36841,Level 2,4
36842,Level 3,5
36843,Level 1,3
36846,Level 2,4
36849,Level 2,4
36850,Level 1,3
36851,Other,0
36852,Level 3,5
36853,Level 2,4
36854,Level 2,4
36855,Fast Release,2
36856,Level 2,4
36857,Level 1,3
36858,Fast Release,2
36859,Level 2,4
36862,Level 2,4
36863,Level 3,5
36864,Level 2,4
36865,Level 2,4
36866,Level 2,4
36868,Level 2,4
36869,Fast Release,2
36870,Fast Release,2
36872,Fast Release,2
36873,Level 3,5
36875,Level 1,3
36876,Level 2,4
36877,Level 1,3
36878,Level 3,5
36879,Level 1,3
36880,Fast Release,2
36883,Level 2,4
36884,Level 2,4
36899,Fast Release,2
36900,Level 2,4
36901,Level 3,5
36902,Level 1,3
36903,Level 1,3
36904,Level 1,3
36905,Level 1,3
36906,Level 1,3
36907,Level 1,3
36908,Level 1,3
36909,Level 1,3
36910,Level 1,3
36911,Level 1,3
36912,Level 1,3
36913,Level 1,3
36914,Level 1,3
36915,Level 1,3
36916,Level 1,3
36917,Level 1,3
36919,Level 1,3
36921,Level 1,3
36922,Level 1,3
36924,Level 1,3
36926,Level 1,3
36927,Level 1,3
36928,Level 3,5
36929,Level 1,3
36930,Level 1,3
36931,Level 1,3
36932,Level 1,3
36933,Level 1,3
36934,Level 1,3
36935,Level 1,3
36936,Level 1,3
36937,Level 1,3
36938,Level 1,3
36939,Level 1,3
36940,Level 1,3
36941,Level 1,3
36942,Level 1,3
36943,Level 1,3
36944,Level 1,3
36945,Level 1,3
36946,Level 1,3
36947,Level 1,3
36948,Level 1,3
36949,Level 2,4
36950,Fast Release,2
36951,Fast Release,2
36952,Fast Release,2
36953,Fast Release,2
36954,Level 2,4
36955,Fast Release,2
36956,Fast Release,2
36957,Fast Release,2
36958,Fast Release,2
36959,Fast Release,2
36961,Level 2,4
36962,Level 2,4
36963,Level 3,5
36965,Fast Release,2
36966,Fast Release,2
36968,Level 2,4
36969,Fast Release,2
36970,Level 3,5
36971,Level 1,3
36972,Fast Release,2
36973,Fast Release,2
36975,Level 2,4
36976,Level 2,4
36977,Level 2,4
36978,Level 2,4
36979,Level 2,4
36980,Level 2,4
36981,Level 3,5
36982,Level 3,5
36983,Level 2,4
36984,Level 3,5
36985,Level 2,4
36986,Level 3,5
36987,Level 1,3
36988,Fast Release,2
36989,Fast Release,2
36990,Fast Release,2
36991,Level 0,1
36992,Fast Release,2
36993,Fast Release,2
36994,Level 2,4
36995,Fast Release,2
36996,Fast Release,2
36997,Level 1,3
36998,Level 3,5
36999,Fast Release,2
37000,Fast Release,2
37001,Level 2,4
37003,Level 2,4
37005,Level 2,4
37006,Level 2,4
37007,Level 2,4
37008,Fast Release,2
37009,Level 2,4
37010,Level 2,4
37011,Level 2,4
37012,Level 2,4
37013,Level 2,4
37014,Level 2,4
37015,Level 2,4
37016,Level 2,4
37017,Level 2,4
37018,Level 2,4
37019,Level 2,4
37020,Level 2,4
37021,Level 2,4
37023,Level 2,4
37024,Level 3,5
37025,Level 2,4
37026,Level 3,5
37027,Level 2,4
37029,Level 2,4
37030,Level 2,4
37031,Level 3,5
37032,Level 3,5
37033,Level 2,4
37034,Fast Release,2
37035,Level 1,3
37037,Level 3,5
37038,Level 3,5
37039,Fast Release,2
37040,Fast Release,2
37041,Level 3,5
37042,Level 2,4
37043,Fast Release,2
37044,Level 3,5
37045,Level 3,5
37046,Level 2,4
37047,Level 2,4
37048,Fast Release,2
37049,Fast Release,2
37050,Fast Release,2
37052,Level 3,5
37053,Level 2,4
37054,Level 2,4
37055,Level 2,4
37056,Level 2,4
37057,Level 2,4
37058,Level 2,4
37059,Level 2,4
37060,Level 2,4
37061,Level 2,4
37062,Level 2,4
37063,Level 2,4
37064,Level 2,4
37065,Level 2,4
37066,Level 3,5
37067,Level 1,3
37068,Level 2,4
37069,Level 2,4
37070,Level 3,5
37071,Level 2,4
37072,Level 2,4
37073,Level 3,5
37074,Level 2,4
37075,Level 2,4
37076,Level 2,4
37077,Level 3,5
37078,Level 2,4
37079,Fast Release,2
37081,Level 3,5
37082,Fast Release,2
37083,Level 3,5
37084,Other,0
37090,Level 3,5
37091,Fast Release,2
37092,Fast Release,2
37093,Level 1,3
37094,Level 3,5
37095,Level 3,5
37096,Level 3,5
37097,Level 1,3
37098,Level 2,4
37099,Level 3,5
37100,Level 2,4
37101,Other,0
37102,Level 3,5
37103,Level 2,4
37105,Level 1,3
37106,Level 1,3
37108,Fast Release,2
37109,Other,0
37110,Level 2,4
37111,Level 1,3
37113,Fast Release,2
37114,Level 1,3
37115,Level 1,3
37116,Level 1,3
37117,Other,0
37118,Level 1,3
37119,Level 3,5
37120,Level 3,5
37121,Level 3,5
37122,Level 3,5
37123,Fast Release,2
37124,Level 3,5
37125,Level 1,3
37126,Level 1,3
37127,Level 3,5
37128,Level 1,3
37130,Fast Release,2
37131,Level 3,5
37132,Level 3,5
37133,Level 3,5
37134,Fast Release,2
37135,Level 3,5
37136,Level 1,3
37137,Level 3,5
37138,Level 2,4
37139,Other,0
37140,Level 2,4
37141,Level 2,4
37142,Other,0
37143,Level 1,3
37144,Level 2,4
37145,Level 2,4
37146,Level 3,5
37147,Level 1,3
37149,Fast Release,2
37155,Level 2,4
37156,Level 1,3
37162,Level 1,3
37163,Level 0,1
37164,Fast Release,2
37165,Fast Release,2
37166,Level 3,5
37167,Level 1,3
37168,Fast Release,2
37169,Level 1,3
37170,Level 0,1
37171,Fast Release,2
37172,Level 1,3
37173,Fast Release,2
37174,Level 1,3
37175,Fast Release,2
37176,Level 3,5
37177,Fast Release,2
37178,Other,0
37179,Level 2,4
37180,Level 0,1
37181,Fast Release,2
37182,Level 3,5
37183,Level 3,5
37184,Level 1,3
37185,Fast Release,2
37186,Fast Release,2
37188,Level 3,5
37189,Level 1,3
37190,Level 3,5
37191,Level 2,4
37192,Level 1,3
37193,Level 1,3
37194,Level 1,3
37195,Level 2,4
37196,Level 2,4
37197,Level 3,5
37198,Level 3,5
37199,Level 3,5
37200,Level 3,5
37201,Level 1,3
37202,Level 1,3
37203,Level 1,3
37204,Level 3,5
37205,Level 1,3
37206,Level 1,3
37207,Level 1,3
37208,Level 1,3
37209,Level 3,5
37210,Level 1,3
37211,Level 1,3
37212,Level 1,3
37213,Level 1,3
37214,Level 3,5
37216,Level 3,5
37217,Level 1,3
37218,Level 1,3
37219,Level 3,5
37220,Level 3,5
37221,Level 1,3
37222,Level 1,3
37223,Level 3,5
37224,Level 1,3
37225,Level 1,3
37226,Level 1,3
37227,Level 1,3
37228,Level 1,3
37229,Level 3,5
37230,Level 1,3
37231,Level 3,5
37232,Level 0,1
37233,Level 3,5
37236,Level 2,4
37237,Level 2,4
37239,Level 1,3
37240,Level 1,3
37241,Level 3,5
37242,Level 2,4
37243,Fast Release,2
37244,Fast Release,2
37245,Level 0,1
37246,Level 3,5
37247,Fast Release,2
37248,Fast Release,2
37249,Level 1,3
37250,Level 1,3
37251,Level 0,1
37252,Level 3,5
37254,Level 1,3
37255,Level 2,4
37256,Level 1,3
37257,Level 1,3
37259,Level 2,4
37260,Level 1,3
37261,Level 1,3
37262,Level 3,5
37263,Level 3,5
37264,Level 3,5
37265,Level 2,4
37266,Level 2,4
37267,Level 2,4
37268,Fast Release,2
37269,Level 2,4
37270,Level 2,4
37271,Level 2,4
37272,Level 2,4
37273,Level 3,5
37274,Level 3,5
37275,Level 1,3
37276,Level 3,5
37277,Level 2,4
37278,Level 3,5
37279,Level 3,5
37281,Level 1,3
37282,Level 1,3
37283,Level 1,3
37284,Level 1,3
37287,Level 2,4
37288,Level 3,5
37289,Level 3,5
37290,Level 3,5
37291,Level 0,1
37293,Level 1,3
37294,Level 3,5
37295,Level 1,3
37296,Level 3,5
37297,Level 3,5
37298,Level 3,5
37299,Level 1,3
37300,Level 1,3
37302,Level 2,4
37303,Level 2,4
37304,Level 3,5
37305,Level 1,3
37309,Fast Release,2
37310,Level 0,1
37311,Level 1,3
37312,Level 2,4
37313,Level 2,4
37317,Level 1,3
37318,Level 1,3
37319,Level 3,5
37320,Level 3,5
37321,Level 3,5
37322,Level 3,5
37323,Level 3,5
37324,Level 3,5
37327,Level 1,3
37328,Level 1,3
37329,Level 1,3
37330,Level 0,1
37331,Level 1,3
37332,Level 1,3
37333,Level 3,5
37334,Level 3,5
37338,Level 1,3
37339,Level 1,3
37340,Level 3,5
37342,Level 3,5
37343,Level 3,5
37344,Level 3,5
37345,Level 1,3
37346,Level 1,3
37348,Level 3,5
37350,Level 1,3
37353,Level 3,5
37354,Level 1,3
37355,Level 1,3
37356,Level 1,3
37357,Level 1,3
37358,Level 1,3
37359,Level 1,3
37360,Level 3,5
37361,Level 1,3
37362,Level 0,1
37363,Level 1,3
37364,Level 1,3
37365,Level 1,3
37366,Level 1,3
37367,Level 3,5
37368,Level 1,3
37369,Level 0,1
37370,Level 1,3
37371,Level 1,3
37373,Level 3,5
37374,Level 3,5
37375,Level 1,3
37376,Level 3,5
37377,Level 3,5
