,Studies,Action,Log_hrs,Study_hrs
0,37216,Metadata-study-level  ,6.5,712.5
45,37216,Quality-checks  ,1,712.5
41,37216,Quality-checks  ,8,712.5
25,37216,Metadata-study-level  ,4,712.5
1,37216,Non-curation  ,7,712.5
2,37216,Quality-checks  ,8.5,712.5
5,37216,Quality-checks  ,8.5,712.5
7,37216,Initial-review-and-planning  ,8,712.5
8,37216,Quality-checks  ,3,712.5
9,37216,Communication-for-study  ,2.5,712.5
10,37216,Transformation-of-data  ,8,712.5
11,37216,Communication-for-study  ,2.5,712.5
3,37216,Documentation  ,4,712.5
13,37216,Transformation-of-data  ,8,712.5
4,37216,Communication-for-study  ,8,712.5
20,37216,Initial-review-and-planning  ,4,712.5
23,37216,Non-curation  ,8,712.5
12,37216,Non-curation  ,8,712.5
22,37216,Quality-checks  ,4,712.5
16,37216,Quality-checks  ,6,712.5
15,37216,Communication-for-study  ,2.5,712.5
6,37216,Quality-checks  ,8.5,712.5
19,37216,Non-curation  ,3,712.5
14,37216,Communication-for-study  ,2.5,712.5
24,37216,Transformation-of-data  ,5,712.5
48,37216,Non-curation  ,6,712.5
17,37216,Non-curation  ,8,712.5
27,37216,Initial-review-and-planning  ,8,712.5
21,37216,Initial-review-and-planning  ,,712.5
18,37216,Quality-checks  ,8.5,712.5
26,37216,Transformation-of-data  ,4,712.5
28,37216,Quality-checks  ,8,712.5
29,37216,Quality-checks  ,8.5,712.5
33,37216,Quality-checks  ,8,712.5
34,37216,Communication-for-study  ,8,712.5
35,37216,Non-curation  ,4,712.5
36,37216,Non-curation  ,2,712.5
37,37216,Non-curation  ,8,712.5
38,37216,Other  ,8,712.5
30,37216,Quality-checks  ,5,712.5
40,37216,Non-curation  ,8,712.5
31,37216,Transformation-of-data  ,4,712.5
47,37216,Quality-checks  ,2,712.5
39,37216,Quality-checks  ,4.5,712.5
50,37216,Quality-checks  ,2,712.5
49,37216,Quality-checks  ,8,712.5
43,37216,Transformation-of-data  ,8,712.5
42,37216,Communication-for-study  ,8,712.5
46,37216,Quality-checks  ,3,712.5
32,37216,Transformation-of-data  ,8,712.5
44,37216,Transformation-of-data  ,6,712.5
51,37216,Communication-for-study  ,8,712.5
7685,37277,Quality-checks  ,,102.6
7676,37277,Other  ,1.5,102.6
7674,37277,Quality-checks  ,2,102.6
7663,37277,Quality-checks  ,1.5,102.6
7683,37277,Quality-checks  ,3,102.6
7684,37277,Quality-checks  ,0.5,102.6
7689,37277,Communication-for-study  ,,102.6
7658,37277,Quality-checks  ,3,102.6
7679,37277,Non-curation  ,4,102.6
7686,37277,Communication-for-study  ,1,102.6
7680,37277,Quality-checks  ,2,102.6
7682,37277,Quality-checks  ,0.5,102.6
7681,37277,Communication-for-study  ,1,102.6
7659,37277,Non-curation  ,,102.6
7665,37277,Quality-checks  ,5.5,102.6
7678,37277,Transformation-of-data  ,5.5,102.6
7673,37277,Transformation-of-data  ,2,102.6
7687,37277,Quality-checks  ,3,102.6
7669,37277,Other  ,1,102.6
7662,37277,Metadata-study-level  ,4,102.6
7666,37277,Transformation-of-data  ,4,102.6
7690,37277,Initial-review-and-planning  ,2,102.6
7671,37277,Communication-for-study  ,5.5,102.6
7667,37277,Initial-review-and-planning  ,2,102.6
7664,37277,Initial-review-and-planning  ,,102.6
7688,37277,Transformation-of-data  ,6.5,102.6
7675,37277,Initial-review-and-planning  ,1,102.6
7668,37277,Documentation  ,0.5,102.6
7672,37277,Initial-review-and-planning  ,8,102.6
7670,37277,Non-curation  ,,102.6
7661,37277,Transformation-of-data  ,3.5,102.6
7677,37277,Quality-checks  ,2,102.6
7660,37277,Non-curation  ,2,102.6
7697,37319,Quality-checks  ,0.25,60.5
7692,37319,Communication-for-study  ,3.5,60.5
7707,37319,Quality-checks  ,2,60.5
7693,37319,Transformation-of-data  ,5,60.5
7702,37319,Non-curation  ,0.5,60.5
7695,37319,Transformation-of-data  ,6.5,60.5
7694,37319,Quality-checks  ,1.5,60.5
7698,37319,Initial-review-and-planning  ,7,60.5
7706,37319,Initial-review-and-planning  ,0.5,60.5
7701,37319,Quality-checks  ,1.5,60.5
7700,37319,Other  ,0.25,60.5
7691,37319,Quality-checks  ,5,60.5
7705,37319,Quality-checks  ,0.5,60.5
7696,37319,Transformation-of-data  ,7,60.5
7703,37319,Metadata-study-level  ,8,60.5
7699,37319,Quality-checks  ,5,60.5
7704,37319,Quality-checks  ,1,60.5
7710,37340,Quality-checks  ,3.5,28.5
7713,37340,Transformation-of-data  ,7.5,28.5
7711,37340,Other  ,1,28.5
7718,37340,Quality-checks  ,0.5,28.5
7717,37340,Quality-checks  ,1.5,28.5
7716,37340,Transformation-of-data  ,1,28.5
7708,37340,Quality-checks  ,1,28.5
7709,37340,Quality-checks  ,2,28.5
7712,37340,Initial-review-and-planning  ,0.5,28.5
7714,37340,Quality-checks  ,0.5,28.5
7715,37340,Initial-review-and-planning  ,8,28.5
7721,37343,Other  ,1,37.5
7724,37343,Initial-review-and-planning  ,7.5,37.5
7725,37343,Metadata-study-level  ,0.5,37.5
7719,37343,Quality-checks  ,6.5,37.5
7720,37343,Initial-review-and-planning  ,6.5,37.5
7731,37343,Quality-checks  ,0.5,37.5
7729,37343,Quality-checks  ,2.5,37.5
7730,37343,Quality-checks  ,1.5,37.5
7723,37343,Quality-checks  ,0.5,37.5
7727,37343,Quality-checks  ,6,37.5
7728,37343,Metadata-study-level  ,1,37.5
7722,37343,Quality-checks  ,0.5,37.5
7726,37343,Quality-checks  ,0.5,37.5
7746,37346,Documentation  ,8,62.5
7745,37346,Quality-checks  ,4,62.5
7732,37346,Documentation  ,6.5,62.5
7741,37346,Quality-checks  ,1,62.5
7733,37346,Quality-checks  ,1,62.5
7742,37346,Other  ,0.5,62.5
7744,37346,Quality-checks  ,8,62.5
7734,37346,Quality-checks  ,1,62.5
7740,37346,Initial-review-and-planning  ,0.5,62.5
7738,37346,Initial-review-and-planning  ,7.5,62.5
7735,37346,Communication-for-study  ,6,62.5
7736,37346,Initial-review-and-planning  ,2,62.5
7737,37346,Quality-checks  ,0.5,62.5
7743,37346,Transformation-of-data  ,5.5,62.5
7739,37346,Documentation  ,8,62.5
7752,37421,Non-curation  ,2,258.75
7751,37421,Non-curation  ,8,258.75
