filename,study,savedate,total_lines,comments,get,weight,formats,value_labels,rename_variables,variable_labels,add_value_labels,missing_values,save,display,frequencies,sloc,recode,set,alter_type,string,compute,get_data,cache,execute,input_program,aggregate,dataset_name,sort_cases,match_files,insert,numeric,if,erase,do_if,apply_dictionary,delete_variables,cd,define,crosstabs,file_handle,data_list,include,get_sas,dataset_activate,add_files,get_stata,new_file,reliability,response_rate,do_repeat,write,sample,spectra,regression,date,record_type,ratio_statistics,homals,print_formats,descriptives,leave,vector,select_if,filter,use,import,begin_data,curvefit,star_join,finish,list,read_model,xsave,show,reformat,conjoint,flip,autorecode,subtitle,probit,verify,dataset_close,variable_level,variable_width,temporary,title,comment,plancards,reread,partial_corr,restore,varstocases,codebook,export,survival,loop,graph,nonpar_corr,permissions,orthoplan,file_type,count,break,drop_documents,output_save,tset,means,rank,split_file,spchart,manova,sysfile_info,compare_datasets,create,areg,document,echo,save_translate,casestovars,script,unianova,extension,time_program,mrsets,factor,preserve,tdisplay,procedure_output,linear,tree,info,getcognos,prefscal,variable_attribute,season,quantile_regression,optimal_binning,dataset_copy,discriminant,print,datafile_attribute,bootstrap,host,keyed_data_list,report,cscoxreg,cstabulate,km,dmcluster,dmlogistic,pacf,oneway,update,examine,pls,mconvert,twostep_cluster,princals,summarize,oms,omsend,tables,aim,anacor,predict,npar_tests,tsplot,xgraph
36729_36927_ph36729-0001.sps,36729,1516739385,424,19,2,1,2,10,7,8,50,310,1,1,1,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4685_23576_ph04685-0003_criminals.sps,4685,1357938568,9,2,1,,,,,,1,,1,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32542_31425_ph32542-0017_REST.sps,32542,1450899266,4460,104,2,,325,2150,327,330,5,289,2,1,1,3857,416,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31681_21915_ph31681-0233.sps,31681,1349384128,123,0,,,,46,,26,,5,1,1,1,117,,1,,,,33,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37077_38046_ph37077-0005_REST.sps,37077,1527624065,17,8,1,,,,,,,,1,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27645_13299_ph27645-all_hate_crime.sps,27645,1277127083,632,68,6,,1,100,,100,,,5,2,1,470,15,1,,,,,,1,127,4,1,2,10,2,10,80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31681_22176_ph31681-0015_stata.sps,31681,1349384251,99,4,,,,17,,26,,5,1,1,1,88,,1,,,,33,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27741_13789_ph27741-all_numericW1.sps,27741,1281716287,145,9,20,,,,,,,1,6,,,104,69,1,,,,,,,,,,,,2,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22180_15224_ph22180-0006.sps,22180,1296152945,2128,4,2,,12,606,12,27,,1,4,1,1,1478,1,1,,1,405,,,,,,,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31621_26760_ph31621-0002.sps,31621,1394721802,409,6,2,,35,197,1,39,,5,37,,,345,,1,2,,11,,,1,,,,2,,,,,,1,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
