STUDY,TOTALVARS
1,61014
2,11
3,6146
4,88952
5,1149
6,16490
7,212
8,406
9,24
10,424
11,1080
12,1547
13,2073
14,48
15,539
16,3798
17,190
18,-132
19,441
20,493
21,762
22,173
24,143
25,3068
26,117
27,408
28,97
29,27
30,59
31,32
32,46
33,1079
34,2247
35,57
36,47
37,68
38,560
39,-14
40,208
41,673
42,452
43,802
44,15
45,526
46,45
47,41
48,38206
49,55
51,1094
52,0
54,-2
55,-2
56,-8
57,-2
58,-2
59,24
60,46
61,1100
62,24
64,75
65,140
66,171
67,2038
69,454
71,1945
72,1246
73,13
74,13
75,3350
77,-102
78,17
79,10152
80,30
168,-1
169,-12
171,5304
1340,-1
1341,-1
1344,-1
1346,-1
2000,183
2003,164
2004,82
2018,447
2019,28
2021,1190
2022,-1
2023,1482
2024,483
2025,1266
2026,884
2027,248
2028,261
2029,395
2030,187
2031,96
2032,81
2033,120
2034,77
2035,117
2036,-2
2037,-2
2038,995
2039,1635
2042,408
2043,254
2044,264
2056,28
2057,-2
2058,-2
2059,-2
2060,-2
2061,43
2062,-2
2063,-2
2065,-2
2066,-2
2067,-2
2068,-2
2069,61
2071,66
2072,-2
2073,-2
2074,-2
2075,113
2076,82
2077,148
2078,136
2079,-2
2080,-2
2081,37
2082,34
2083,37
2084,34
2086,227
2087,2612
2088,550
2089,481
2090,341
2091,395
2094,-2
2095,-2
2096,-2
2097,-2
2098,-2
2099,-2
2100,44
2102,270
2103,270
2104,259
2105,259
2106,259
2107,159
2109,43
2110,43
2111,307
2113,-2
2116,-2
2118,-2
2120,-2
2125,26
2126,25
2127,24
2128,25
2129,25
2130,25
2131,24
2132,21
2133,21
2134,28
2135,28
2136,21
2138,60
2139,60
2140,64
2141,59
2142,61
2143,57
2145,-2
2146,50
2147,-2
2148,-2
2149,2288
2150,-2
2151,146
2152,474
2153,456
2154,-1
2155,49
2157,-2
2158,-2
2160,358
2161,238
2163,4367
2164,122
2165,44
2166,16
2167,130
2168,23
2169,79
2170,74
2171,82
2172,25
2173,97
2174,25
2175,148
2176,30
2177,66
2178,120
2179,39
2180,166
2181,92
2182,168
2183,390
2184,62
2185,62
2186,62
2187,62
2188,-2
2190,-2
2191,-2
2192,-2
2193,8984
2194,297
2197,-2
2198,-2
2199,-2
2201,784
2202,-2
2203,-2
2204,-2
2205,-2
2206,14
2207,14
2208,197
2209,259
2210,81
2211,45
2213,130
2214,79
2215,154
2217,316
2218,318
2219,296
2220,458
2221,55
2222,88
2224,190
2225,183
2226,128
2227,387
2228,10
2229,1086
2230,28
2231,4754
2232,332
2233,66
2234,139
2235,217
2236,225
2237,216
2238,111
2239,49
2240,50
2241,50
2242,289
2244,26
2245,20
2246,22
2247,22
2248,22
2250,73
2251,73
2253,96
2254,78
2256,361
2257,75
2258,9782
2259,321
2260,30
2261,174
2262,-262
2263,299
2264,2578
2266,26
2267,60
2268,2441
2269,48
2271,49
2274,26
2276,44
2277,48
2279,15
2280,207
2281,-2
2282,1850
2283,30
2284,27
2285,240
2287,86
2288,308
2289,91
2291,718
2292,374
2293,133
2294,2388
2295,1205
2296,174
2297,459
2299,132
2300,-2
2301,-2
2302,-2
2303,61
2304,93
2305,65
2306,-2
2307,-2
2308,-2
2309,-2
2310,546
2311,67
2312,2364
2313,81
2315,1381
2317,455
2318,457
2319,445
2320,297
2321,284
2322,288
2323,261
2324,304
2325,401
2326,276
2327,277
2328,250
2329,250
2330,310
2331,304
2332,304
2333,341
2334,458
2335,423
2336,423
2337,341
2338,394
2339,355
2340,486
2341,129
2343,149
2344,3541
2346,751
2347,840
2349,-2
2350,1200
2352,1609
2353,997
2354,-2
2355,-2
2357,-2
2358,-2
2359,-2
2360,-2
2361,247
2362,1222
2363,-2
2364,433
2365,-4
2367,788
2368,-18
2369,-18
2370,783
2371,775
2372,51
2373,95
2374,77
2375,6
2376,8
2377,25
2378,208
2380,360
2381,365
2382,365
2383,366
2385,179
2386,30
2387,20
2388,85
2389,390
2390,1186
2391,1446
2392,975
2393,92
2394,49
2395,511
2396,581
2397,377
2398,340
2399,377
2402,235
2403,239
2404,249
2405,555
2406,123
2407,4914
2408,-2
2409,252
2410,295
2411,294
2412,306
2413,303
2414,348
2415,349
2416,311
2419,390
2420,5544
2421,234
2422,-4
2423,28
2424,31
2426,36
2427,31
2430,31
2433,128
2443,558
2446,-18
2447,208
2448,297
2449,522
2450,370
2451,-2
2452,62
2453,-2
2454,-2
2455,-2
2456,-2
2457,-2
2458,80
2459,73
2460,-2
2461,-2
2462,-2
2464,-2
2465,321
2466,542
2467,910
2468,292
2469,292
2470,69
2475,1172
2476,2378
2477,2350
2478,1474
2479,100
2480,53
2481,37
2482,-2
2484,-2
2485,23
2486,-2
2489,22
2490,32
2491,19
2492,76
2494,-2
2495,18
2496,22
2497,45
2498,51
2500,46
2502,64
2503,37
2504,16
2505,22
2506,59
2507,25
2508,-2
2509,24
2510,50
2511,32
2512,27
2513,7530
2514,109
2515,27
2520,67
2521,1124
2522,1108
2523,1170
2524,486
2525,132
2526,43
2528,165
2529,-2
2530,-2
2531,211
2532,825
2533,444
2534,21
