STUDY,ACTION_LABEL,LOG_HRS,STUDY_HRS
37216,Metadata-study-level,6.5,712.5
37216,Quality-checks,1.0,712.5
37216,Quality-checks,8.0,712.5
37216,Metadata-study-level,4.0,712.5
37216,Non-curation,7.0,712.5
37216,Quality-checks,8.5,712.5
37216,Quality-checks,8.5,712.5
37216,Initial-review-and-planning,8.0,712.5
37216,Quality-checks,3.0,712.5
37216,Communication-for-study,2.5,712.5
37216,Transformation-of-data,8.0,712.5
37216,Communication-for-study,2.5,712.5
37216,Documentation,4.0,712.5
37216,Transformation-of-data,8.0,712.5
37216,Communication-for-study,8.0,712.5
37216,Initial-review-and-planning,4.0,712.5
37216,Non-curation,8.0,712.5
37216,Non-curation,8.0,712.5
37216,Quality-checks,4.0,712.5
37216,Quality-checks,6.0,712.5
37216,Communication-for-study,2.5,712.5
37216,Quality-checks,8.5,712.5
37216,Non-curation,3.0,712.5
37216,Communication-for-study,2.5,712.5
37216,Transformation-of-data,5.0,712.5
37216,Non-curation,6.0,712.5
37216,Non-curation,8.0,712.5
37216,Initial-review-and-planning,8.0,712.5
37216,Initial-review-and-planning,,712.5
37216,Quality-checks,8.5,712.5
37216,Transformation-of-data,4.0,712.5
37216,Quality-checks,8.0,712.5
37216,Quality-checks,8.5,712.5
37216,Quality-checks,8.0,712.5
37216,Communication-for-study,8.0,712.5
37216,Non-curation,4.0,712.5
37216,Non-curation,2.0,712.5
37216,Non-curation,8.0,712.5
37216,Other,8.0,712.5
37216,Quality-checks,5.0,712.5
37216,Non-curation,8.0,712.5
37216,Transformation-of-data,4.0,712.5
37216,Quality-checks,2.0,712.5
37216,Quality-checks,4.5,712.5
37216,Quality-checks,2.0,712.5
37216,Quality-checks,8.0,712.5
37216,Transformation-of-data,8.0,712.5
37216,Communication-for-study,8.0,712.5
37216,Quality-checks,3.0,712.5
37216,Transformation-of-data,8.0,712.5
37216,Transformation-of-data,6.0,712.5
37216,Communication-for-study,8.0,712.5
37277,Quality-checks,,102.6
37277,Other,1.5,102.6
37277,Quality-checks,2.0,102.6
37277,Quality-checks,1.5,102.6
37277,Quality-checks,3.0,102.6
37277,Quality-checks,0.5,102.6
37277,Communication-for-study,,102.6
37277,Quality-checks,3.0,102.6
37277,Non-curation,4.0,102.6
37277,Communication-for-study,1.0,102.6
37277,Quality-checks,2.0,102.6
37277,Quality-checks,0.5,102.6
37277,Communication-for-study,1.0,102.6
37277,Non-curation,,102.6
37277,Quality-checks,5.5,102.6
37277,Transformation-of-data,5.5,102.6
37277,Transformation-of-data,2.0,102.6
37277,Quality-checks,3.0,102.6
37277,Other,1.0,102.6
37277,Metadata-study-level,4.0,102.6
37277,Transformation-of-data,4.0,102.6
37277,Initial-review-and-planning,2.0,102.6
37277,Communication-for-study,5.5,102.6
37277,Initial-review-and-planning,2.0,102.6
37277,Initial-review-and-planning,,102.6
37277,Transformation-of-data,6.5,102.6
37277,Initial-review-and-planning,1.0,102.6
37277,Documentation,0.5,102.6
37277,Initial-review-and-planning,8.0,102.6
37277,Non-curation,,102.6
37277,Transformation-of-data,3.5,102.6
37277,Quality-checks,2.0,102.6
37277,Non-curation,2.0,102.6
37319,Quality-checks,0.25,60.5
37319,Communication-for-study,3.5,60.5
37319,Quality-checks,2.0,60.5
37319,Transformation-of-data,5.0,60.5
37319,Non-curation,0.5,60.5
37319,Transformation-of-data,6.5,60.5
37319,Quality-checks,1.5,60.5
37319,Initial-review-and-planning,7.0,60.5
37319,Initial-review-and-planning,0.5,60.5
37319,Quality-checks,1.5,60.5
37319,Other,0.25,60.5
37319,Quality-checks,5.0,60.5
37319,Quality-checks,0.5,60.5
37319,Transformation-of-data,7.0,60.5
37319,Metadata-study-level,8.0,60.5
37319,Quality-checks,5.0,60.5
37319,Quality-checks,1.0,60.5
37340,Quality-checks,3.5,28.5
37340,Transformation-of-data,7.5,28.5
37340,Other,1.0,28.5
37340,Quality-checks,0.5,28.5
37340,Quality-checks,1.5,28.5
37340,Transformation-of-data,1.0,28.5
37340,Quality-checks,1.0,28.5
37340,Quality-checks,2.0,28.5
37340,Initial-review-and-planning,0.5,28.5
37340,Quality-checks,0.5,28.5
37340,Initial-review-and-planning,8.0,28.5
37343,Other,1.0,37.5
37343,Initial-review-and-planning,7.5,37.5
37343,Metadata-study-level,0.5,37.5
37343,Quality-checks,6.5,37.5
37343,Initial-review-and-planning,6.5,37.5
37343,Quality-checks,0.5,37.5
37343,Quality-checks,2.5,37.5
37343,Quality-checks,1.5,37.5
37343,Quality-checks,0.5,37.5
37343,Quality-checks,6.0,37.5
37343,Metadata-study-level,1.0,37.5
37343,Quality-checks,0.5,37.5
37343,Quality-checks,0.5,37.5
37346,Documentation,8.0,62.5
37346,Quality-checks,4.0,62.5
37346,Documentation,6.5,62.5
37346,Quality-checks,1.0,62.5
37346,Quality-checks,1.0,62.5
37346,Other,0.5,62.5
37346,Quality-checks,8.0,62.5
37346,Quality-checks,1.0,62.5
37346,Initial-review-and-planning,0.5,62.5
37346,Initial-review-and-planning,7.5,62.5
37346,Communication-for-study,6.0,62.5
37346,Initial-review-and-planning,2.0,62.5
